source_id,relation,target_id
softwareinstance:crnn_mindspore,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk310
softwareinstance:seresnext_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk420
softwareinstance:tacotron2_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk420
softwareinstance:blip_pytorch,HAS_GUIDE,guide:blipreadme
softwareinstance:oriented_reppoints_pytorch,HAS_GUIDE,guide:oriented_reppointsreadme
softwareinstance:rt-detr_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk420
software:deeplabv3,DEVELOPED_BY,author:
softwareinstance:densenet_paddlepaddle,TRAINED_ON,dataset:imagenet
softwareinstance:u2_conformer_wenet_pytorch,HAS_GUIDE,guide:u2_conformer_wenetreadme
softwareinstance:alexnet_tensorflow,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk310
softwareinstance:unet_paddlepaddle,USES_FRAMEWORK,framework:paddlepaddle
software:maskrcnn,DEVELOPED_BY,author:deepsparkcommunity
softwareinstance:ocrnet_paddlepaddle,INSTANCE_OF,software:ocrnet
softwareinstance:se_resnet50_vd_paddlepaddle,INSTANCE_OF,software:se_resnet50_vd
softwareinstance:googlenet_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk220
software:bert,DEVELOPED_BY,author:bert-base-uncased
softwareinstance:dpn107_pytorch,HAS_GUIDE,guide:dpn107readme
softwareinstance:swin_transformer_paddlepaddle,HAS_GUIDE,guide:swin_transformerreadme
softwareinstance:alphapose_pytorch,INSTANCE_OF,software:alphapose
software:bloom-7b1,DEVELOPED_BY,author:yangjianxin1
softwareinstance:crnn_paddlepaddle,TRAINED_ON,dataset:lmdb
softwareinstance:moe-llava-qwen-18b_pytorch,TRAINED_ON,dataset:moe-llava
softwareinstance:yolof_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk220
softwareinstance:mobilenetv2_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk220
deploymentconfig:bi-v100_ixucasdk310,CONFIGURES_HARDWARE,hardware:bi-v100
deploymentconfig:bi-v150_ixucasdk340,CONFIGURES_RUNTIME,runtime:ixucasdk340
softwareinstance:centerpoint_pytorch,TRAINED_ON,dataset:nuscenes
softwareinstance:ssd_tensorflow,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk300
softwareinstance:stdc_paddlepaddle,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk310
softwareinstance:retinanet_paddlepaddle,TRAINED_ON,dataset:coco
softwareinstance:liif_pytorch,INSTANCE_OF,software:liif
softwareinstance:dunet_pytorch,HAS_GUIDE,guide:dunetreadme
softwareinstance:hardnet_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:fcos_pytorch,TRAINED_ON,dataset:coco
softwareinstance:yolov3_tensorflow,HAS_GUIDE,guide:yolov3readme
softwareinstance:dbnetpp_paddlepaddle,INSTANCE_OF,software:dbnetpp
softwareinstance:pp_yoloe_paddlepaddle,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk420
softwareinstance:mixtral_pytorch,INSTANCE_OF,software:mixtral
softwareinstance:fasterrcnn_pytorch,INSTANCE_OF,software:fasterrcnn
softwareinstance:lednet_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:qwen25-3b_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:encnet_pytorch,HAS_GUIDE,guide:encnetreadme
softwareinstance:ffm_paddlepaddle,INSTANCE_OF,software:ffm
softwareinstance:yi-15-6b_pytorch,TRAINED_ON,dataset:yi-15-6b
softwareinstance:real_basicvsr_pytorch,INSTANCE_OF,software:real_basicvsr
softwareinstance:hashnerf_pytorch,HAS_GUIDE,guide:hashnerfreadme
softwareinstance:picodet_paddlepaddle,HAS_GUIDE,guide:picodetreadme
softwareinstance:resnest101_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:pse_paddlepaddle,HAS_GUIDE,guide:psereadme
softwareinstance:yolov10_pytorch,TRAINED_ON,dataset:coco
softwareinstance:dbnet_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk300
software:vqmivc,DEVELOPED_BY,author:wendison
softwareinstance:ncf_pytorch,INSTANCE_OF,software:ncf
softwareinstance:deeplabv3_paddlepaddle,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk230
softwareinstance:fasternet_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:pp_liteseg_paddlepaddle,USES_FRAMEWORK,framework:paddlepaddle
softwareinstance:mobilenetv2_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:transformer_wenet_pytorch,INSTANCE_OF,software:transformer_wenet
software:acmix,DEVELOPED_BY,author:leaplabthu
softwareinstance:pp-yoloe_paddlepaddle,TRAINED_ON,dataset:coco
softwareinstance:hrnet_paddlepaddle,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk310
softwareinstance:densenet_paddlepaddle,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk420
softwareinstance:unet_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk220
software:resnext50_32x4d,DEVELOPED_BY,author:mindspore
softwareinstance:centernet_pytorch,HAS_GUIDE,guide:centernetreadme
softwareinstance:ttvsr_pytorch,USES_FRAMEWORK,framework:pytorch
software:rkd,DEVELOPED_BY,author:abs
softwareinstance:hifigan_paddlepaddle,INSTANCE_OF,software:hifigan
softwareinstance:dbnetpp_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:mae_pytorch,USES_FRAMEWORK,framework:pytorch
software:mamba-2,DEVELOPED_BY,author:nvidia
softwareinstance:picodet_paddlepaddle,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk310
softwareinstance:llama2-13b_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk420
softwareinstance:bisenetv2_paddlepaddle,HAS_GUIDE,guide:bisenetv2readme
softwareinstance:detr_paddlepaddle,TRAINED_ON,dataset:coco
softwareinstance:vgg_paddlepaddle,HAS_GUIDE,guide:vggreadme
software:sast,DEVELOPED_BY,author:paddlepaddle
softwareinstance:linknet_pytorch,HAS_GUIDE,guide:linknetreadme
softwareinstance:centernet_paddlepaddle,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk420
softwareinstance:xception_paddlepaddle,USES_FRAMEWORK,framework:paddlepaddle
softwareinstance:cwd_pytorch,INSTANCE_OF,software:cwd
softwareinstance:densenet_pytorch,TRAINED_ON,dataset:imagenet
software:vnet,DEVELOPED_BY,author:deepsparkcommunity
softwareinstance:openpose_mindspore,INSTANCE_OF,software:openpose
softwareinstance:llava-15_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk411
softwareinstance:second_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk411
softwareinstance:vqmivc_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:centernet_pytorch,TRAINED_ON,dataset:coco
software:byol,DEVELOPED_BY,author:abs
softwareinstance:roberta_fairseq_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:mae_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk300
softwareinstance:att_unet_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:att_unet_pytorch,INSTANCE_OF,software:att_unet
softwareinstance:espnet_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:yi-6b_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:qwen25-7b_pytorch,HAS_GUIDE,guide:qwen25-7breadme
softwareinstance:bart_fairseq_pytorch,HAS_GUIDE,guide:bart_fairseqreadme
softwareinstance:dbnet_pytorch,TRAINED_ON,dataset:icdar2015
softwareinstance:mobilenetv2_pytorch,HAS_GUIDE,guide:mobilenetv2readme
softwareinstance:qwen15-7b_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk411
softwareinstance:googlenet_paddlepaddle,TRAINED_ON,dataset:imagenet
softwareinstance:centermask2_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:resnet50_paddlepaddle,HAS_GUIDE,guide:resnet50readme
softwareinstance:rnnt_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk220
softwareinstance:hrnet_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:pointpillars_pytorch,INSTANCE_OF,software:pointpillars
softwareinstance:repvgg_paddlepaddle,HAS_GUIDE,guide:repvggreadme
softwareinstance:part_a2_anchor_pytorch,HAS_GUIDE,guide:part_a2_anchorreadme
software:mae,DEVELOPED_BY,author:deepsparkcommunity
deploymentconfig:bi-v150_ixucasdk411,CONFIGURES_RUNTIME,runtime:ixucasdk411
softwareinstance:ttsr_pytorch,INSTANCE_OF,software:ttsr
software:pspnet,DEVELOPED_BY,author:open-mmlab
softwareinstance:oc_sort_paddlepaddle,HAS_GUIDE,guide:oc_sortreadme
softwareinstance:pp-ocr-east_paddlepaddle,INSTANCE_OF,software:pp-ocr-east
softwareinstance:deeplabv3_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk220
software:oc_sort,DEVELOPED_BY,author:paddlepaddle
software:atss_mmdet,DEVELOPED_BY,author:open-mmlab
softwareinstance:acnet_pytorch,HAS_GUIDE,guide:acnetreadme
softwareinstance:centerpoint_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk311
softwareinstance:part_a2_free_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk411
softwareinstance:eca_resnet152_pytorch,INSTANCE_OF,software:eca_resnet152
softwareinstance:repvit_pytorch,HAS_GUIDE,guide:repvitreadme
softwareinstance:mae_pytorch,HAS_GUIDE,guide:maereadme
softwareinstance:aquila2-34b_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk340
softwareinstance:repvit_pytorch,INSTANCE_OF,software:repvit
softwareinstance:vgg_tensorflow,INSTANCE_OF,software:vgg
software:cwd,DEVELOPED_BY,author:open-mmlab
softwareinstance:bloom-7b1_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:stable-diffusion-15_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk411
softwareinstance:centerpoint_pytorch,INSTANCE_OF,software:centerpoint
softwareinstance:gpt2-medium-en_paddlepaddle,INSTANCE_OF,software:gpt2-medium-en
softwareinstance:network-slimming_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v100_ixucasdk300
software:tacotron2,DEVELOPED_BY,author:nvidia
software:resnest101,DEVELOPED_BY,author:zhanghang1989
softwareinstance:wide_resnet101_2_pytorch,INSTANCE_OF,software:wide_resnet101_2
software:co-detr,DEVELOPED_BY,author:deepsparkcommunity
softwareinstance:efficientnet_b0_paddlepaddle,INSTANCE_OF,software:efficientnet_b0
softwareinstance:yolov11_pytorch,USES_FRAMEWORK,framework:pytorch
softwareinstance:se_resnet50_vd_paddlepaddle,HAS_GUIDE,guide:se_resnet50_vdreadme
softwareinstance:atss_mmdet_pytorch,INSTANCE_OF,software:atss_mmdet
softwareinstance:rkd_pytorch,INSTANCE_OF,software:rkd
softwareinstance:chatglm2-6b-sft_pytorch,CAN_DEPLOY_ON,deploymentconfig:bi-v150_ixucasdk420
hardware:bi-v150,SUPPORTS_RUNTIME,runtime:ixucasdk420
