id,label,name,source_url,extra/Type,extra/area,extra/Main-Task,software_id,framework_id,extra/Vendor,extra/release,hardware_id,runtime_id,extra/library
software:bisenetv2,Software,bisenetv2,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/semantic_segmentation/bisenetv2,模型,CV,semantic_segmentation,,,,,,,
softwareinstance:bisenetv2_paddlepaddle,SoftwareInstance,bisenetv2_Paddlepaddle,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/semantic_segmentation/bisenetv2/paddlepaddle,,,,software:bisenetv2,framework:paddlepaddle,,,,,
guide:bisenetv2readme,Guide,bisenetv2 README,https://gitee.com/deep-spark/deepsparkhub/raw/master/models/cv/semantic_segmentation/bisenetv2/paddlepaddle/README.md,,,,,,,,,,
softwareinstance:bisenetv2_pytorch,SoftwareInstance,bisenetv2_Pytorch,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/semantic_segmentation/bisenetv2/pytorch,,,,software:bisenetv2,framework:pytorch,,,,,
author:coincheung,Author,CoinCheung,https://github.com/CoinCheung,,,,,,,,,,
software:cgnet,Software,cgnet,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/semantic_segmentation/cgnet,模型,CV,semantic_segmentation,,,,,,,
softwareinstance:cgnet_pytorch,SoftwareInstance,cgnet_Pytorch,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/semantic_segmentation/cgnet/pytorch,,,,software:cgnet,framework:pytorch,,,,,
guide:cgnetreadme,Guide,cgnet README,https://gitee.com/deep-spark/deepsparkhub/raw/master/models/cv/semantic_segmentation/cgnet/pytorch/README.md,,,,,,,,,,
software:contextnet,Software,contextnet,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/semantic_segmentation/contextnet,模型,CV,semantic_segmentation,,,,,,,
softwareinstance:contextnet_pytorch,SoftwareInstance,contextnet_Pytorch,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/semantic_segmentation/contextnet/pytorch,,,,software:contextnet,framework:pytorch,,,,,
guide:contextnetreadme,Guide,contextnet README,https://gitee.com/deep-spark/deepsparkhub/raw/master/models/cv/semantic_segmentation/contextnet/pytorch/README.md,,,,,,,,,,
software:dabnet,Software,dabnet,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/semantic_segmentation/dabnet,模型,CV,semantic_segmentation,,,,,,,
softwareinstance:dabnet_pytorch,SoftwareInstance,dabnet_Pytorch,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/semantic_segmentation/dabnet/pytorch,,,,software:dabnet,framework:pytorch,,,,,
guide:dabnetreadme,Guide,dabnet README,https://gitee.com/deep-spark/deepsparkhub/raw/master/models/cv/semantic_segmentation/dabnet/pytorch/README.md,,,,,,,,,,
software:danet,Software,danet,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/semantic_segmentation/danet,模型,CV,semantic_segmentation,,,,,,,
softwareinstance:danet_pytorch,SoftwareInstance,danet_Pytorch,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/semantic_segmentation/danet/pytorch,,,,software:danet,framework:pytorch,,,,,
guide:danetreadme,Guide,danet README,https://gitee.com/deep-spark/deepsparkhub/raw/master/models/cv/semantic_segmentation/danet/pytorch/README.md,,,,,,,,,,
software:ddrnet,Software,ddrnet,https://gitee.com/deep-spark/deepsparkhub/tree/master/models/cv/semantic_segmentation/ddrnet,模型,CV,semantic_segmentation,,,,,,,
